product_name,download_name,new_formatted_name,version,new_formatted_version_major
Thunderbird,thunderbird,thunderbird,2.0.0.24,2.0
Thunderbird,thunderbird,thunderbird,2.0.0.25pre,2.0
Thunderbird,thunderbird,thunderbird,3.0.11,3.0
Thunderbird,thunderbird,thunderbird,3.0.12pre,3.0
Thunderbird,thunderbird,thunderbird,3.1.11pre,3.1
Thunderbird,thunderbird,thunderbird,3.1.11,3.1
Thunderbird,thunderbird,thunderbird,3.1.12pre,3.1
Thunderbird,thunderbird,thunderbird,3.1.12,3.1
Thunderbird,thunderbird,thunderbird,3.1.13pre,3.1
Thunderbird,thunderbird,thunderbird,3.1.13,3.1
Thunderbird,thunderbird,thunderbird,3.1.14pre,3.1
Thunderbird,thunderbird,thunderbird,3.1.14,3.1
Thunderbird,thunderbird,thunderbird,3.1.15pre,3.1
Thunderbird,thunderbird,thunderbird,3.1.15,3.1
Thunderbird,thunderbird,thunderbird,3.1.16pre,3.1
Thunderbird,thunderbird,thunderbird,3.1.16,3.1
Thunderbird,thunderbird,thunderbird,3.1.17pre,3.1
Thunderbird,thunderbird,thunderbird,3.1.17,3.1
Thunderbird,thunderbird,thunderbird,3.1.18pre,3.1
Thunderbird,thunderbird,thunderbird,3.1.18,3.1
Thunderbird,thunderbird,thunderbird,3.1.19pre,3.1
Thunderbird,thunderbird,thunderbird,3.1.19,3.1
Thunderbird,thunderbird,thunderbird,3.1.20pre,3.1
Thunderbird,thunderbird,thunderbird,3.1.20,3.1
Thunderbird,thunderbird,thunderbird,3.1.21pre,3.1
Thunderbird,thunderbird,thunderbird,3.2a1pre,3.2
Thunderbird,thunderbird,thunderbird,3.3a2,3.3
Thunderbird,thunderbird,thunderbird,3.3a3pre,3.3
Thunderbird,thunderbird,thunderbird,3.3a3,3.3
Thunderbird,thunderbird,thunderbird,3.3a4pre,3.3
Thunderbird,thunderbird,thunderbird,5.0b1,5.0
Thunderbird,thunderbird,thunderbird,5.0b2pre,5.0
Thunderbird,thunderbird,thunderbird,5.0b2,5.0
Thunderbird,thunderbird,thunderbird,5.0,5.0
Thunderbird,thunderbird,thunderbird,6.0a2,6.0
Thunderbird,thunderbird,thunderbird,6.0,6.0
Thunderbird,thunderbird,thunderbird,6.0.1,6.0
Thunderbird,thunderbird,thunderbird,6.0.2,6.0
Thunderbird,thunderbird,thunderbird,7.0a1,7.0
Thunderbird,thunderbird,thunderbird,7.0a2,7.0
Thunderbird,thunderbird,thunderbird,7.0,7.0
Thunderbird,thunderbird,thunderbird,7.0.1,7.0
Thunderbird,thunderbird,thunderbird,8.0a1,8.0
Thunderbird,thunderbird,thunderbird,8.0a2,8.0
Thunderbird,thunderbird,thunderbird,8.0b4,8.0
Thunderbird,thunderbird,thunderbird,8.0b5,8.0
Thunderbird,thunderbird,thunderbird,8.0,8.0
Thunderbird,thunderbird,thunderbird,9.0a1,9.0
Thunderbird,thunderbird,thunderbird,9.0a2,9.0
Thunderbird,thunderbird,thunderbird,9.0,9.0
Thunderbird,thunderbird,thunderbird,9.0.1,9.0
Thunderbird,thunderbird,thunderbird,10.0a1,10.0
Thunderbird,thunderbird,thunderbird,10.0a2,10.0
Thunderbird,thunderbird,thunderbird,10.0b1,10.0
Thunderbird,thunderbird,thunderbird,10.0b2,10.0
Thunderbird,thunderbird,thunderbird,10.0b3,10.0
Thunderbird,thunderbird,thunderbird,10.0b4,10.0
Thunderbird,thunderbird,thunderbird,10.0b5,10.0
Thunderbird,thunderbird,thunderbird,10.0,10.0
Thunderbird,thunderbird,thunderbird,10.0.1,10.0
Thunderbird,thunderbird,thunderbird,10.0.2,10.0
Thunderbird,thunderbird,thunderbird,10.0.3,10.0
Thunderbird,thunderbird,thunderbird,10.0.4,10.0
Thunderbird,thunderbird,thunderbird,10.0.5,10.0
Thunderbird,thunderbird,thunderbird,10.0esr,10.0
Thunderbird,thunderbird,thunderbird,10.0.1esr,10.0
Thunderbird,thunderbird,thunderbird,10.0.2esr,10.0
Thunderbird,thunderbird,thunderbird,10.0.3esr,10.0
Thunderbird,thunderbird,thunderbird,10.0.4esr,10.0
Thunderbird,thunderbird,thunderbird,10.0.5esr,10.0
Thunderbird,thunderbird,thunderbird,11.0a1,11.0
Thunderbird,thunderbird,thunderbird,11.0a2,11.0
Thunderbird,thunderbird,thunderbird,11.0b1,11.0
Thunderbird,thunderbird,thunderbird,11.0b2,11.0
Thunderbird,thunderbird,thunderbird,11.0b3,11.0
Thunderbird,thunderbird,thunderbird,11.0b4,11.0
Thunderbird,thunderbird,thunderbird,11.0b5,11.0
Thunderbird,thunderbird,thunderbird,11.0,11.0
Thunderbird,thunderbird,thunderbird,11.0.1,11.0
Thunderbird,thunderbird,thunderbird,12.0a1,12.0
Thunderbird,thunderbird,thunderbird,12.0a2,12.0
Thunderbird,thunderbird,thunderbird,12.0b1,12.0
Thunderbird,thunderbird,thunderbird,12.0b2,12.0
Thunderbird,thunderbird,thunderbird,12.0b3,12.0
Thunderbird,thunderbird,thunderbird,12.0b4,12.0
Thunderbird,thunderbird,thunderbird,12.0b5,12.0
Thunderbird,thunderbird,thunderbird,12.0,12.0
Thunderbird,thunderbird,thunderbird,12.0.1,12.0
Thunderbird,thunderbird,thunderbird,13.0a1,13.0
Thunderbird,thunderbird,thunderbird,13.0a2,13.0
Thunderbird,thunderbird,thunderbird,13.0b1,13.0
Thunderbird,thunderbird,thunderbird,13.0b2,13.0
Thunderbird,thunderbird,thunderbird,13.0b3,13.0
Thunderbird,thunderbird,thunderbird,13.0b4,13.0
Thunderbird,thunderbird,thunderbird,13.0,13.0
Thunderbird,thunderbird,thunderbird,13.0.1,13.0
Thunderbird,thunderbird,thunderbird,14.0,14.0
Thunderbird,thunderbird,thunderbird,14.0a1,14.0
Thunderbird,thunderbird,thunderbird,14.0a2,14.0
Thunderbird,thunderbird,thunderbird,14.0b1,14.0
Thunderbird,thunderbird,thunderbird,14.0b2,14.0
Thunderbird,thunderbird,thunderbird,14.0b3,14.0
Thunderbird,thunderbird,thunderbird,14.0b4,14.0
Thunderbird,thunderbird,thunderbird,15.0a1,15.0
Thunderbird,thunderbird,thunderbird,15.0a2,15.0
Thunderbird,thunderbird,thunderbird,16.0a1,16.0

Firefox,firefox,firefox,3.0.19,3.0
Firefox,firefox,firefox,3.0.20pre,3.0
Firefox,firefox,firefox,3.5.19,3.5
Firefox,firefox,firefox,3.5.20pre,3.5
Firefox,firefox,firefox,3.6.25,3.6
Firefox,firefox,firefox,3.6.26pre,3.6
Firefox,firefox,firefox,3.6.26,3.6
Firefox,firefox,firefox,3.6.27pre,3.6
Firefox,firefox,firefox,3.6.27,3.6
Firefox,firefox,firefox,3.6.28pre,3.6
Firefox,firefox,firefox,3.6.28,3.6
Firefox,firefox,firefox,3.6.29pre,3.6
Firefox,firefox,firefox,4.0b12,4.0
Firefox,firefox,firefox,4.0b13pre,4.0
Firefox,firefox,firefox,4.0rc1,4.0
Firefox,firefox,firefox,4.0rc2,4.0
Firefox,firefox,firefox,4.0pre,4.0
Firefox,firefox,firefox,4.0,4.0
Firefox,firefox,firefox,4.0.1,4.0
Firefox,firefox,firefox,4.0.2pre,4.0
Firefox,firefox,firefox,4.2a1pre,5.0
Firefox,firefox,firefox,5.0a2,5.0
Firefox,firefox,firefox,5.0b1,5.0
Firefox,firefox,firefox,5.0,5.0
Firefox,firefox,firefox,5.0.1,5.0
Firefox,firefox,firefox,6.0a1,6.0
Firefox,firefox,firefox,6.0a2,6.0
Firefox,firefox,firefox,6.0,6.0
Firefox,firefox,firefox,6.0.1,6.0
Firefox,firefox,firefox,6.0.2,6.0
Firefox,firefox,firefox,7.0a1,7.0
Firefox,firefox,firefox,7.0a2,7.0
Firefox,firefox,firefox,7.0b3,7.0
Firefox,firefox,firefox,7.0b4,7.0
Firefox,firefox,firefox,7.0b5,7.0
Firefox,firefox,firefox,7.0b6,7.0
Firefox,firefox,firefox,7.0,7.0
Firefox,firefox,firefox,7.0.1,7.0
Firefox,firefox,firefox,8.0a1,8.0
Firefox,firefox,firefox,8.0a2,8.0
Firefox,firefox,firefox,8.0b4,8.0
Firefox,firefox,firefox,8.0b5,8.0
Firefox,firefox,firefox,8.0,8.0
Firefox,firefox,firefox,8.0.1,8.0
Firefox,firefox,firefox,9.0a1,9.0
Firefox,firefox,firefox,9.0a2,9.0
Firefox,firefox,firefox,9.0b1,9.0
Firefox,firefox,firefox,9.0b2,9.0
Firefox,firefox,firefox,9.0b3,9.0
Firefox,firefox,firefox,9.0b4,9.0
Firefox,firefox,firefox,9.0b5,9.0
Firefox,firefox,firefox,9.0b6,9.0
Firefox,firefox,firefox,9.0,9.0
Firefox,firefox,firefox,9.0.1,9.0
Firefox,firefox,firefox,10.0a1,10.0
Firefox,firefox,firefox,10.0a2,10.0
Firefox,firefox,firefox,10.0b1,10.0
Firefox,firefox,firefox,10.0b2,10.0
Firefox,firefox,firefox,10.0b3,10.0
Firefox,firefox,firefox,10.0b4,10.0
Firefox,firefox,firefox,10.0b5,10.0
Firefox,firefox,firefox,10.0b6,10.0
Firefox,firefox,firefox,10.0,10.0
Firefox,firefox,firefox,10.0esr,10.0
Firefox,firefox,firefox,10.0.1,10.0
Firefox,firefox,firefox,10.0.1esr,10.0
Firefox,firefox,firefox,10.0.2,10.0
Firefox,firefox,firefox,10.0.2esr,10.0
Firefox,firefox,firefox,10.0.3,10.0
Firefox,firefox,firefox,10.0.3esr,10.0
Firefox,firefox,firefox,10.0.4,10.0
Firefox,firefox,firefox,10.0.4esr,10.0
Firefox,firefox,firefox,10.0.5,10.0
Firefox,firefox,firefox,10.0.5esr,10.0
Firefox,firefox,firefox,11.0a1,11.0
Firefox,firefox,firefox,11.0a2,11.0
Firefox,firefox,firefox,11.0b1,11.0
Firefox,firefox,firefox,11.0b2,11.0
Firefox,firefox,firefox,11.0b3,11.0
Firefox,firefox,firefox,11.0b4,11.0
Firefox,firefox,firefox,11.0b5,11.0
Firefox,firefox,firefox,11.0b6,11.0
Firefox,firefox,firefox,11.0b7,11.0
Firefox,firefox,firefox,11.0b8,11.0
Firefox,firefox,firefox,11.0,11.0
Firefox,firefox,firefox,12.0a1,12.0
Firefox,firefox,firefox,12.0a2,12.0
Firefox,firefox,firefox,12.0b1,12.0
Firefox,firefox,firefox,12.0b2,12.0
Firefox,firefox,firefox,12.0b3,12.0
Firefox,firefox,firefox,12.0b4,12.0
Firefox,firefox,firefox,12.0b5,12.0
Firefox,firefox,firefox,12.0b6,12.0
Firefox,firefox,firefox,12.0,12.0
Firefox,firefox,firefox,13.0a1,13.0
Firefox,firefox,firefox,13.0a2,13.0
Firefox,firefox,firefox,13.0b1,13.0
Firefox,firefox,firefox,13.0b2,13.0
Firefox,firefox,firefox,13.0b3,13.0
Firefox,firefox,firefox,13.0b4,13.0
Firefox,firefox,firefox,13.0b5,13.0
Firefox,firefox,firefox,13.0b6,13.0
Firefox,firefox,firefox,13.0b7,13.0
Firefox,firefox,firefox,13.0,13.0
Firefox,firefox,firefox,13.0.1,13.0
Firefox,firefox,firefox,14.0a1,14.0
Firefox,firefox,firefox,14.0a2,14.0
Firefox,firefox,firefox,14.0b6,14.0
Firefox,firefox,firefox,14.0b7,14.0
Firefox,firefox,firefox,14.0b8,14.0
Firefox,firefox,firefox,14.0b9,14.0
Firefox,firefox,firefox,14.0b10,14.0
Firefox,firefox,firefox,14.0b11,14.0
Firefox,firefox,firefox,14.0,14.0
Firefox,firefox,firefox,15.0a1,15.0
Firefox,firefox,firefox,15.0a2,15.0
Firefox,firefox,firefox,16.0a1,16.0

Webapp Runtime,webapprt,webapprt,13.0a1,13.0
Webapp Runtime,webapprt,webapprt,13.0a2,13.0
Webapp Runtime,webapprt,webapprt,13.0b1,13.0
Webapp Runtime,webapprt,webapprt,13.0b2,13.0
Webapp Runtime,webapprt,webapprt,13.0b3,13.0
Webapp Runtime,webapprt,webapprt,13.0b4,13.0
Webapp Runtime,webapprt,webapprt,13.0b5,13.0
Webapp Runtime,webapprt,webapprt,13.0b6,13.0
Webapp Runtime,webapprt,webapprt,13.0b7,13.0
Webapp Runtime,webapprt,webapprt,13.0,13.0
Webapp Runtime,webapprt,webapprt,13.0.1,13.0
Webapp Runtime,webapprt,webapprt,14.0a1,14.0
Webapp Runtime,webapprt,webapprt,14.0a2,14.0
Webapp Runtime,webapprt,webapprt,14.0b6,14.0
Webapp Runtime,webapprt,webapprt,14.0b7,14.0
Webapp Runtime,webapprt,webapprt,14.0,14.0
Webapp Runtime,webapprt,webapprt,15.0a1,15.0
Webapp Runtime,webapprt,webapprt,15.0a2,15.0
Webapp Runtime,webapprt,webapprt,16.0a1,16.0

Fennec,firefox-mobile,fennec,1.0.0,1.0
Fennec,firefox-mobile,fennec,1.1,1.0
Fennec,firefox-mobile,fennec,2.0a1pre,2.0
Fennec,firefox-mobile,fennec,2.0a1,2.0
Fennec,firefox-mobile,fennec,2.0b1pre,2.0
Fennec,firefox-mobile,fennec,4.0b5,4.0
Fennec,firefox-mobile,fennec,4.0b6pre,4.0
Fennec,firefox-mobile,fennec,4.0,4.0
Fennec,firefox-mobile,fennec,4.0.1,4.0
Fennec,firefox-mobile,fennec,4.0.2pre,4.0
Fennec,firefox-mobile,fennec,5.0,5.0
Fennec,firefox-mobile,fennec,6.0a2,6.0
Fennec,firefox-mobile,fennec,6.0,6.0
Fennec,firefox-mobile,fennec,6.0.1,6.0
Fennec,firefox-mobile,fennec,6.0.2,6.0
Fennec,firefox-mobile,fennec,7.0a1,7.0
Fennec,firefox-mobile,fennec,7.0a2,7.0
Fennec,firefox-mobile,fennec,7.0,7.0
Fennec,firefox-mobile,fennec,7.0.1,7.0
Fennec,firefox-mobile,fennec,8.0a1,8.0
Fennec,firefox-mobile,fennec,8.0a2,8.0
Fennec,firefox-mobile,fennec,8.0b4,8.0
Fennec,firefox-mobile,fennec,8.0b5,8.0
Fennec,firefox-mobile,fennec,8.0,8.0
Fennec,firefox-mobile,fennec,8.0.1,8.0
Fennec,firefox-mobile,fennec,9.0a1,9.0
Fennec,firefox-mobile,fennec,9.0a2,9.0
Fennec,firefox-mobile,fennec,9.0b1,9.0
Fennec,firefox-mobile,fennec,9.0b2,9.0
Fennec,firefox-mobile,fennec,9.0b3,9.0
Fennec,firefox-mobile,fennec,9.0b4,9.0
Fennec,firefox-mobile,fennec,9.0b5,9.0
Fennec,firefox-mobile,fennec,9.0b6,9.0
Fennec,firefox-mobile,fennec,9.0,9.0
Fennec,firefox-mobile,fennec,10.0a1,10.0
Fennec,firefox-mobile,fennec,10.0a2,10.0
Fennec,firefox-mobile,fennec,10.0b1,10.0
Fennec,firefox-mobile,fennec,10.0b2,10.0
Fennec,firefox-mobile,fennec,10.0b3,10.0
Fennec,firefox-mobile,fennec,10.0b4,10.0
Fennec,firefox-mobile,fennec,10.0b5,10.0
Fennec,firefox-mobile,fennec,10.0b6,10.0
Fennec,firefox-mobile,fennec,10.0,10.0
Fennec,firefox-mobile,fennec,10.0.1,10.0
Fennec,firefox-mobile,fennec,10.0.2,10.0
Fennec,firefox-mobile,fennec,10.0.3,10.0
Fennec,firefox-mobile,fennec,10.0.3esr,10.0
Fennec,firefox-mobile,fennec,10.0.4,10.0
Fennec,firefox-mobile,fennec,10.0.4esr,10.0
Fennec,firefox-mobile,fennec,10.0.5,10.0
Fennec,firefox-mobile,fennec,11.0a1,11.0
Fennec,firefox-mobile,fennec,11.0a2,11.0
Fennec,firefox-mobile,fennec,11.0b1,11.0
Fennec,firefox-mobile,fennec,11.0b2,11.0
Fennec,firefox-mobile,fennec,11.0b3,11.0
Fennec,firefox-mobile,fennec,11.0b4,11.0
Fennec,firefox-mobile,fennec,11.0b5,11.0
Fennec,firefox-mobile,fennec,11.0b6,11.0
Fennec,firefox-mobile,fennec,11.0,11.0
Fennec,firefox-mobile,fennec,12.0a1,12.0
Fennec,firefox-mobile,fennec,12.0a2,12.0
Fennec,firefox-mobile,fennec,12.0b1,12.0
Fennec,firefox-mobile,fennec,12.0b2,12.0
Fennec,firefox-mobile,fennec,12.0b3,12.0
Fennec,firefox-mobile,fennec,12.0b4,12.0
Fennec,firefox-mobile,fennec,12.0b5,12.0
Fennec,firefox-mobile,fennec,12.0b6,12.0
Fennec,firefox-mobile,fennec,12.0,12.0
Fennec,firefox-mobile,fennec,13.0a1,13.0
Fennec,firefox-mobile,fennec,13.0a2,13.0
Fennec,firefox-mobile,fennec,13.0b1,13.0
Fennec,firefox-mobile,fennec,13.0b2,13.0
Fennec,firefox-mobile,fennec,13.0,13.0
Fennec,firefox-mobile,fennec,14.0a1,14.0
Fennec,firefox-mobile,fennec,14.0a2,14.0
Fennec,firefox-mobile,fennec,14.0b1,14.0
Fennec,firefox-mobile,fennec,14.0b2,14.0
Fennec,firefox-mobile,fennec,14.0b3,14.0
Fennec,firefox-mobile,fennec,14.0b4,14.0
Fennec,firefox-mobile,fennec,14.0b5,14.0
Fennec,firefox-mobile,fennec,14.0b6,14.0
Fennec,firefox-mobile,fennec,14.0b7,14.0
Fennec,firefox-mobile,fennec,14.0b8,14.0
Fennec,firefox-mobile,fennec,14.0b10,14.0
Fennec,firefox-mobile,fennec,14.0b11,14.0
Fennec,firefox-mobile,fennec,14.0,14.0
Fennec,firefox-mobile,fennec,15.0a1,15.0
Fennec,firefox-mobile,fennec,15.0a2,15.0
Fennec,firefox-mobile,fennec,16.0a1,16.0

SeaMonkey,seamonkey,seamonkey,2.6,2.6
SeaMonkey,seamonkey,seamonkey,2.6.1,2.6
SeaMonkey,seamonkey,seamonkey,2.7b1,2.7
SeaMonkey,seamonkey,seamonkey,2.7b2,2.7
SeaMonkey,seamonkey,seamonkey,2.7b3,2.7
SeaMonkey,seamonkey,seamonkey,2.7b4,2.7
SeaMonkey,seamonkey,seamonkey,2.7b5,2.7
SeaMonkey,seamonkey,seamonkey,2.7,2.7
SeaMonkey,seamonkey,seamonkey,2.7.1,2.7
SeaMonkey,seamonkey,seamonkey,2.7.2,2.7
SeaMonkey,seamonkey,seamonkey,2.8b1,2.8
SeaMonkey,seamonkey,seamonkey,2.8b2,2.8
SeaMonkey,seamonkey,seamonkey,2.8b3,2.8
SeaMonkey,seamonkey,seamonkey,2.8b4,2.8
SeaMonkey,seamonkey,seamonkey,2.8b5,2.8
SeaMonkey,seamonkey,seamonkey,2.8b6,2.8
SeaMonkey,seamonkey,seamonkey,2.8,2.8
SeaMonkey,seamonkey,seamonkey,2.9b1,2.9
SeaMonkey,seamonkey,seamonkey,2.9b2,2.9
SeaMonkey,seamonkey,seamonkey,2.9b3,2.9
SeaMonkey,seamonkey,seamonkey,2.9b4,2.9
SeaMonkey,seamonkey,seamonkey,2.9,2.9
SeaMonkey,seamonkey,seamonkey,2.9.1,2.9
SeaMonkey,seamonkey,seamonkey,2.10,2.10
SeaMonkey,seamonkey,seamonkey,2.10.1,2.10
SeaMonkey,seamonkey,seamonkey,2.10b1,2.10
SeaMonkey,seamonkey,seamonkey,2.10b2,2.10
SeaMonkey,seamonkey,seamonkey,2.10b3,2.10
SeaMonkey,seamonkey,seamonkey,2.11b1,2.11
SeaMonkey,seamonkey,seamonkey,2.11b2,2.11
SeaMonkey,seamonkey,seamonkey,2.11b3,2.11
SeaMonkey,seamonkey,seamonkey,2.11b4,2.11
SeaMonkey,seamonkey,seamonkey,2.11b5,2.11

